numbr,symbol,category
1000,ER_HASHCHK,common
1001,ER_NISAMCHK,common
1002,ER_NO,common
1003,ER_YES,common
1004,ER_CANT_CREATE_FILE,common
1005,ER_CANT_CREATE_TABLE,common
1006,ER_CANT_CREATE_DB,common
1007,ER_DB_CREATE_EXISTS,common
1008,ER_DB_DROP_EXISTS,common
1009,ER_DB_DROP_DELETE,common
1010,ER_DB_DROP_RMDIR,common
1011,ER_CANT_DELETE_FILE,common
1012,ER_CANT_FIND_SYSTEM_REC,common
1013,ER_CANT_GET_STAT,common
1014,ER_CANT_GET_WD,common
1015,ER_CANT_LOCK,common
1016,ER_CANT_OPEN_FILE,common
1017,ER_FILE_NOT_FOUND,common
1018,ER_CANT_READ_DIR,common
1019,ER_CANT_SET_WD,common
1020,ER_CHECKREAD,common
1021,ER_DISK_FULL,common
1022,ER_DUP_KEY,common
1023,ER_ERROR_ON_CLOSE,common
1024,ER_ERROR_ON_READ,common
1025,ER_ERROR_ON_RENAME,common
1026,ER_ERROR_ON_WRITE,common
1027,ER_FILE_USED,common
1028,ER_FILSORT_ABORT,common
1029,ER_FORM_NOT_FOUND,common
1030,ER_GET_ERRNO,common
1031,ER_ILLEGAL_HA,common
1032,ER_KEY_NOT_FOUND,common
1033,ER_NOT_FORM_FILE,common
1034,ER_NOT_KEYFILE,common
1035,ER_OLD_KEYFILE,common
1036,ER_OPEN_AS_READONLY,common
1037,ER_OUTOFMEMORY,common
1038,ER_OUT_OF_SORTMEMORY,common
1039,ER_UNEXPECTED_EOF,common
1040,ER_CON_COUNT_ERROR,common
1041,ER_OUT_OF_RESOURCES,common
1042,ER_BAD_HOST_ERROR,common
1043,ER_HANDSHAKE_ERROR,common
1044,ER_DBACCESS_DENIED_ERROR,common
1045,ER_ACCESS_DENIED_ERROR,common
1046,ER_NO_DB_ERROR,common
1047,ER_UNKNOWN_COM_ERROR,common
1048,ER_BAD_NULL_ERROR,common
1049,ER_BAD_DB_ERROR,common
1050,ER_TABLE_EXISTS_ERROR,common
1051,ER_BAD_TABLE_ERROR,common
1052,ER_NON_UNIQ_ERROR,common
1053,ER_SERVER_SHUTDOWN,common
1054,ER_BAD_FIELD_ERROR,common
1055,ER_WRONG_FIELD_WITH_GROUP,common
1056,ER_WRONG_GROUP_FIELD,common
1057,ER_WRONG_SUM_SELECT,common
1058,ER_WRONG_VALUE_COUNT,common
1059,ER_TOO_LONG_IDENT,common
1060,ER_DUP_FIELDNAME,common
1061,ER_DUP_KEYNAME,common
1062,ER_DUP_ENTRY,common
1063,ER_WRONG_FIELD_SPEC,common
1064,ER_PARSE_ERROR,common
1065,ER_EMPTY_QUERY,common
1066,ER_NONUNIQ_TABLE,common
1067,ER_INVALID_DEFAULT,common
1068,ER_MULTIPLE_PRI_KEY,common
1069,ER_TOO_MANY_KEYS,common
1070,ER_TOO_MANY_KEY_PARTS,common
1071,ER_TOO_LONG_KEY,common
1072,ER_KEY_COLUMN_DOES_NOT_EXITS,common
1073,ER_BLOB_USED_AS_KEY,common
1074,ER_TOO_BIG_FIELDLENGTH,common
1075,ER_WRONG_AUTO_KEY,common
1076,ER_BINLOG_CANT_DELETE_GTID_DOMAIN,mariadb
1076,ER_READY,mysql
1077,ER_NORMAL_SHUTDOWN,common
1078,ER_GOT_SIGNAL,common
1079,ER_SHUTDOWN_COMPLETE,common
1080,ER_FORCING_CLOSE,common
1081,ER_IPSOCK_ERROR,common
1082,ER_NO_SUCH_INDEX,common
1083,ER_WRONG_FIELD_TERMINATORS,common
1084,ER_BLOBS_AND_NO_TERMINATED,common
1085,ER_TEXTFILE_NOT_READABLE,common
1086,ER_FILE_EXISTS_ERROR,common
1087,ER_LOAD_INFO,common
1088,ER_ALTER_INFO,common
1089,ER_WRONG_SUB_KEY,common
1090,ER_CANT_REMOVE_ALL_FIELDS,common
1091,ER_CANT_DROP_FIELD_OR_KEY,common
1092,ER_INSERT_INFO,common
1093,ER_UPDATE_TABLE_USED,common
1094,ER_NO_SUCH_THREAD,common
1095,ER_KILL_DENIED_ERROR,common
1096,ER_NO_TABLES_USED,common
1097,ER_TOO_BIG_SET,common
1098,ER_NO_UNIQUE_LOGFILE,common
1099,ER_TABLE_NOT_LOCKED_FOR_WRITE,common
1100,ER_TABLE_NOT_LOCKED,common
1101,ER_BLOB_CANT_HAVE_DEFAULT,mysql
1102,ER_WRONG_DB_NAME,common
1103,ER_WRONG_TABLE_NAME,common
1104,ER_TOO_BIG_SELECT,common
1105,ER_UNKNOWN_ERROR,common
1106,ER_UNKNOWN_PROCEDURE,common
1107,ER_WRONG_PARAMCOUNT_TO_PROCEDURE,common
1108,ER_WRONG_PARAMETERS_TO_PROCEDURE,common
1109,ER_UNKNOWN_TABLE,common
1110,ER_FIELD_SPECIFIED_TWICE,common
1111,ER_INVALID_GROUP_FUNC_USE,common
1112,ER_UNSUPPORTED_EXTENSION,common
1113,ER_TABLE_MUST_HAVE_COLUMNS,common
1114,ER_RECORD_FILE_FULL,common
1115,ER_UNKNOWN_CHARACTER_SET,common
1116,ER_TOO_MANY_TABLES,common
1117,ER_TOO_MANY_FIELDS,common
1118,ER_TOO_BIG_ROWSIZE,common
1119,ER_STACK_OVERRUN,common
1120,ER_WRONG_OUTER_JOIN,mariadb
