
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  3.629021901461023e-12  7.505751048377368e-09  2.979166031186306e-12  21    5    5
    2  7.505751048377368e-09  1.501150209675474e-07  6.164657920203418e-09  21    0    5
    3  1.501150209675474e-07  3.002300419350948e-06  1.293969127947313e-07  21    0   10
    4  3.002300419350948e-06  6.004600838701896e-05  2.593514282996240e-06  21    0   10
    5  6.004600838701896e-05  2.853822155081229e-04  5.166758334585902e-05  21    0   20
    6  2.853822155081229e-04  2.575259959878790e-04  2.798554542688727e-04  21    0   25
    7  2.575259959878790e-04  4.094548233868925e-04  4.794251765603497e-04  21    0   25
    8  4.094548233868925e-04  4.094548233868925e-04  7.863865837872640e-04  21    0   29
    9  4.094548233868925e-04  6.522930286476144e-04  1.082810355921300e-03  21    0   29
   10  6.522930286476144e-04  5.699101877580012e-04  1.606861594787917e-03  23    0   40
   11  5.699101877580012e-04  1.007840457058845e-03  2.005672441485306e-03  23    0   35
   12  1.007840457058845e-03  1.007840457058845e-03  2.683046459434155e-03  23    0   40
   13  1.007840457058845e-03  8.454000528275167e-04  3.678403481057265e-03  25    0   40
   14  8.454000528275167e-04  1.990435218834137e-03  4.265076936824948e-03  25    0   34
   15  1.990435218834137e-03  1.990435218834137e-03  5.574945959459934e-03  25    0   41
   16  1.990435218834137e-03  3.606553655158231e-03  6.798379766375560e-03  25    0   35
   17  4.980855396290894e-04  4.980855396290894e-04  6.927018828153406e-03  27   10  180
   18  4.980855396290894e-04  4.980855396290894e-04  7.441580402805750e-03  29   -10   30
   19  4.980855396290894e-04  1.668133018281326e-03  7.722592473547433e-03  29    0   29
   20  1.668133018281326e-03  3.660004265108313e-03  8.637154192031912e-03  29    0   44
   21  3.660004265108313e-03  7.226949406725396e-03  1.050788196949657e-02  29    0   65
   22  2.276521387605918e-04  2.276521387605918e-04  1.033580293681499e-02  32   15  250
   23  2.276521387605918e-04  4.412350777869715e-04  1.092527817874815e-02  34   -15   25
   24  4.412350777869715e-04  1.020413899402111e-03  1.113705034977286e-02  34    0   33
   25  1.020413899402111e-03  1.020413899402111e-03  1.161778510530216e-02  34    0   36
