
Robertson ODE test problem:
    initial conditions:  u0 = 1,  v0 = 0,  w0 = 0
        t           u           v           w
   --------------------------------------------------
   0.000e+00   1.00000e+00   0.00000e+00   0.00000e+00
   1.000e+09   2.08324e-06   8.34276e-12   9.99998e-01
   2.000e+09   1.04164e-06   4.17283e-12   9.99999e-01
   3.000e+09   6.94437e-07   2.78375e-12   9.99999e-01
   4.000e+09   5.20830e-07   2.05394e-12   9.99999e-01
   5.000e+09   4.16667e-07   1.66756e-12   1.00000e+00
   6.000e+09   3.47220e-07   1.38545e-12   1.00000e+00
   7.000e+09   2.97617e-07   1.17655e-12   1.00000e+00
   8.000e+09   2.60409e-07   1.02537e-12   1.00000e+00
   9.000e+09   2.31480e-07   9.41190e-13   1.00000e+00
   1.000e+10   2.08335e-07   8.36764e-13   1.00000e+00
   1.100e+10   1.89395e-07   7.64332e-13   1.00000e+00
   1.200e+10   1.73606e-07   6.70149e-13   1.00000e+00
   1.300e+10   1.60258e-07   6.41057e-13   1.00000e+00
   1.400e+10   1.48808e-07   6.17193e-13   1.00000e+00
   1.500e+10   1.38890e-07   5.48220e-13   1.00000e+00
   1.600e+10   1.30203e-07   4.86507e-13   1.00000e+00
   1.700e+10   1.22547e-07   4.67931e-13   1.00000e+00
   1.800e+10   1.15742e-07   4.70245e-13   1.00000e+00
   1.900e+10   1.09647e-07   4.55585e-13   1.00000e+00
   2.000e+10   1.04167e-07   4.24475e-13   1.00000e+00
   2.100e+10   9.92072e-08   3.90746e-13   1.00000e+00
   2.200e+10   9.46966e-08   3.68978e-13   1.00000e+00
   2.300e+10   9.05806e-08   3.58503e-13   1.00000e+00
   2.400e+10   8.68057e-08   3.53926e-13   1.00000e+00
   2.500e+10   8.33309e-08   3.44650e-13   1.00000e+00
   2.600e+10   8.01259e-08   3.30901e-13   1.00000e+00
   2.700e+10   7.71607e-08   3.13931e-13   1.00000e+00
   2.800e+10   7.44057e-08   2.95253e-13   1.00000e+00
   2.900e+10   7.18388e-08   2.78961e-13   1.00000e+00
   3.000e+10   6.94438e-08   2.67061e-13   1.00000e+00
   3.100e+10   6.72046e-08   2.60762e-13   1.00000e+00
   3.200e+10   6.51052e-08   2.61201e-13   1.00000e+00
   3.300e+10   6.31308e-08   2.61658e-13   1.00000e+00
   3.400e+10   6.12720e-08   2.57843e-13   1.00000e+00
   3.500e+10   5.95204e-08   2.50778e-13   1.00000e+00
   3.600e+10   5.78677e-08   2.41487e-13   1.00000e+00
   3.700e+10   5.63054e-08   2.30992e-13   1.00000e+00
   3.800e+10   5.48254e-08   2.20317e-13   1.00000e+00
   3.900e+10   5.34196e-08   2.10724e-13   1.00000e+00
   4.000e+10   5.20833e-08   2.03599e-13   1.00000e+00
   4.100e+10   5.08123e-08   1.98476e-13   1.00000e+00
   4.200e+10   4.96023e-08   1.94720e-13   1.00000e+00
   4.300e+10   4.84493e-08   1.91698e-13   1.00000e+00
   4.400e+10   4.73490e-08   1.88774e-13   1.00000e+00
   4.500e+10   4.62972e-08   1.85299e-13   1.00000e+00
   4.600e+10   4.52907e-08   1.78904e-13   1.00000e+00
   4.700e+10   4.43271e-08   1.74761e-13   1.00000e+00
   4.800e+10   4.34036e-08   1.75489e-13   1.00000e+00
   4.900e+10   4.25178e-08   1.67760e-13   1.00000e+00
   5.000e+10   4.16674e-08   1.68504e-13   1.00000e+00
   5.100e+10   4.08503e-08   1.72673e-13   1.00000e+00
   5.200e+10   4.00645e-08   1.71906e-13   1.00000e+00
   5.300e+10   3.93085e-08   1.67608e-13   1.00000e+00
   5.400e+10   3.85807e-08   1.61181e-13   1.00000e+00
   5.500e+10   3.78794e-08   1.54027e-13   1.00000e+00
   5.600e+10   3.72030e-08   1.47521e-13   1.00000e+00
   5.700e+10   3.65500e-08   1.42263e-13   1.00000e+00
   5.800e+10   3.59194e-08   1.38124e-13   1.00000e+00
   5.900e+10   3.53102e-08   1.34960e-13   1.00000e+00
   6.000e+10   3.47215e-08   1.32628e-13   1.00000e+00
   6.100e+10   3.41523e-08   1.30983e-13   1.00000e+00
   6.200e+10   3.36017e-08   1.29882e-13   1.00000e+00
   6.300e+10   3.30688e-08   1.29180e-13   1.00000e+00
   6.400e+10   3.25525e-08   1.28734e-13   1.00000e+00
   6.500e+10   3.20519e-08   1.28399e-13   1.00000e+00
   6.600e+10   3.15661e-08   1.28511e-13   1.00000e+00
   6.700e+10   3.10945e-08   1.29667e-13   1.00000e+00
   6.800e+10   3.06366e-08   1.31575e-13   1.00000e+00
   6.900e+10   3.01919e-08   1.33923e-13   1.00000e+00
   7.000e+10   2.97600e-08   1.36404e-13   1.00000e+00
   7.100e+10   2.93405e-08   1.38706e-13   1.00000e+00
   7.200e+10   2.89328e-08   1.40520e-13   1.00000e+00
   7.300e+10   2.85365e-08   1.41536e-13   1.00000e+00
   7.400e+10   2.81511e-08   1.41445e-13   1.00000e+00
   7.500e+10   2.77762e-08   1.39937e-13   1.00000e+00
   7.600e+10   2.74113e-08   1.36702e-13   1.00000e+00
   7.700e+10   2.70559e-08   1.31431e-13   1.00000e+00
   7.800e+10   2.67096e-08   1.23813e-13   1.00000e+00
   7.900e+10   2.63719e-08   1.13538e-13   1.00000e+00
   8.000e+10   2.60423e-08   1.00933e-13   1.00000e+00
   8.100e+10   2.57208e-08   9.31863e-14   1.00000e+00
   8.200e+10   2.54071e-08   9.21249e-14   1.00000e+00
   8.300e+10   2.51010e-08   9.73996e-14   1.00000e+00
   8.400e+10   2.48022e-08   1.03740e-13   1.00000e+00
   8.500e+10   2.45104e-08   1.01400e-13   1.00000e+00
   8.600e+10   2.42254e-08   9.65651e-14   1.00000e+00
   8.700e+10   2.39469e-08   9.61320e-14   1.00000e+00
   8.800e+10   2.36747e-08   9.68559e-14   1.00000e+00
   8.900e+10   2.34087e-08   9.44562e-14   1.00000e+00
   9.000e+10   2.31485e-08   9.00151e-14   1.00000e+00
   9.100e+10   2.28941e-08   8.46151e-14   1.00000e+00
   9.200e+10   2.26453e-08   7.93387e-14   1.00000e+00
   9.300e+10   2.24018e-08   7.52684e-14   1.00000e+00
   9.400e+10   2.21635e-08   7.34866e-14   1.00000e+00
   9.500e+10   2.19303e-08   7.50757e-14   1.00000e+00
   9.600e+10   2.17019e-08   8.11182e-14   1.00000e+00
   9.700e+10   2.14781e-08   9.01508e-14   1.00000e+00
   9.800e+10   2.12589e-08   9.22475e-14   1.00000e+00
   9.900e+10   2.10442e-08   8.92813e-14   1.00000e+00
   1.000e+11   2.08338e-08   8.47365e-14   1.00000e+00
   --------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 990 (attempted = 1170)
   Total RHS evals:  Fe = 0,  Fi = 33161
   Total linear solver setups = 517
   Total RHS evals for setting up the linear system = 0
   Total number of Jacobian evaluations = 56
   Total number of Newton iterations = 27313
   Total number of nonlinear solver convergence failures = 3
   Total number of error test failures = 177
