
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717302    1.326933  7.09e-07  3.80e-08
   -2.800000    0.727248    1.290353  8.19e-07  4.40e-08
   -2.700000    0.740247    1.254041  8.79e-07  4.56e-08
   -2.600000    0.756014    1.218400  7.89e-07  4.19e-08
   -2.500000    0.774228    1.183861  7.00e-07  3.54e-08
   -2.400000    0.794546    1.150885  6.04e-07  3.08e-08
   -2.300000    0.816617    1.119953  4.92e-07  2.38e-08
   -2.200000    0.840090    1.091560  1.42e-06  6.87e-08
   -2.100000    0.864627    1.066204  1.20e-06  4.56e-08
   -2.000000    0.889903    1.044367  7.76e-07  2.25e-08
   -1.900000    0.915617    1.026499  4.55e-08  1.78e-07
   -1.800000    0.941485    1.012992  2.28e-06  3.37e-07
   -1.700000    0.967249    1.004159  3.53e-06  3.11e-07
   -1.600000    0.992669    1.000214  4.20e-06  3.33e-07
   -1.500000    1.017526    1.001252  4.27e-06  4.27e-07
   -1.400000    1.041621    1.007249  4.51e-06  3.79e-07
   -1.300000    1.064773    1.018058  4.08e-06  3.79e-07
   -1.200000    1.086816    1.033422  4.62e-06  3.91e-07
   -1.100000    1.107605    1.052993  4.16e-06  3.67e-07
   -1.000000    1.127005    1.076350  4.74e-06  3.85e-07
   -0.900000    1.144900    1.103029  4.41e-06  3.61e-07
   -0.800000    1.161181    1.132539  4.83e-06  3.77e-07
   -0.700000    1.175759    1.164381  4.69e-06  3.53e-07
   -0.600000    1.188552    1.198064  4.70e-06  3.54e-07
   -0.500000    1.199491    1.233116  4.96e-06  3.48e-07
   -0.400000    1.208519    1.269087  4.61e-06  3.28e-07
   -0.300000    1.215589    1.305558  5.17e-06  3.43e-07
   -0.200000    1.220665    1.342137  4.62e-06  3.06e-07
   -0.100000    1.223719    1.378466  5.22e-06  3.32e-07
    0.000000    1.224740    1.414214  4.66e-06  2.88e-07
    0.100000    1.223720    1.449081  5.07e-06  3.12e-07
    0.200000    1.220665    1.482791  4.68e-06  2.74e-07
    0.300000    1.215589    1.515098  4.69e-06  2.78e-07
    0.400000    1.208519    1.545775  4.63e-06  2.59e-07
    0.500000    1.199492    1.574619  4.23e-06  2.39e-07
    0.600000    1.188553    1.601450  4.45e-06  2.40e-07
    0.700000    1.175760    1.626105  3.86e-06  2.06e-07
    0.800000    1.161182    1.648441  4.12e-06  2.16e-07
    0.900000    1.144900    1.668331  3.49e-06  1.76e-07
