
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.718045    1.326475  7.44e-04  4.58e-04
   -2.800000    0.728085    1.289925  8.38e-04  4.28e-04
   -2.700000    0.741158    1.253650  9.13e-04  3.92e-04
   -2.600000    0.756981    1.218051  9.68e-04  3.49e-04
   -2.500000    0.775232    1.183562  1.00e-03  3.00e-04
   -2.400000    0.795569    1.150641  1.02e-03  2.45e-04
   -2.300000    0.817640    1.119769  1.02e-03  1.84e-04
   -2.200000    0.841097    1.091440  1.01e-03  1.20e-04
   -2.100000    0.865605    1.066152  9.79e-04  5.20e-05
   -2.000000    0.890841    1.044384  9.38e-04  1.73e-05
   -1.900000    0.916505    1.026585  8.87e-04  8.65e-05
   -1.800000    0.942316    1.013145  8.29e-04  1.54e-04
   -1.700000    0.968017    1.004376  7.65e-04  2.17e-04
   -1.600000    0.993371    1.000487  6.98e-04  2.74e-04
   -1.500000    1.018160    1.001576  6.29e-04  3.24e-04
   -1.400000    1.042187    1.007615  5.62e-04  3.66e-04
   -1.300000    1.065272    1.018458  4.95e-04  4.00e-04
   -1.200000    1.087252    1.033847  4.32e-04  4.25e-04
   -1.100000    1.107980    1.053435  3.71e-04  4.43e-04
   -1.000000    1.127323    1.076803  3.13e-04  4.53e-04
   -0.900000    1.145162    1.103486  2.58e-04  4.57e-04
   -0.800000    1.161392    1.132995  2.06e-04  4.56e-04
   -0.700000    1.175919    1.164832  1.55e-04  4.51e-04
   -0.600000    1.188664    1.198507  1.07e-04  4.43e-04
   -0.500000    1.199556    1.233548  5.93e-05  4.32e-04
   -0.400000    1.208537    1.269506  1.25e-05  4.19e-04
   -0.300000    1.215560    1.305961  3.40e-05  4.04e-04
   -0.200000    1.220588    1.342524  8.09e-05  3.87e-04
   -0.100000    1.223596    1.378834  1.28e-04  3.69e-04
    0.000000    1.224568    1.414564  1.77e-04  3.50e-04
    0.100000    1.223499    1.449410  2.26e-04  3.30e-04
    0.200000    1.220392    1.483100  2.77e-04  3.09e-04
    0.300000    1.215265    1.515385  3.29e-04  2.87e-04
    0.400000    1.208143    1.546038  3.81e-04  2.64e-04
    0.500000    1.199061    1.574859  4.35e-04  2.39e-04
    0.600000    1.188067    1.601664  4.90e-04  2.14e-04
    0.700000    1.175220    1.626292  5.44e-04  1.87e-04
    0.800000    1.160588    1.648599  5.98e-04  1.59e-04
    0.900000    1.144254    1.668459  6.50e-04  1.29e-04
