
1D Advection-Reaction Test Problem

Number of Processors = 4
Mesh Info:
  NX = 100, NXL = 25, dx = 0.010000, xmax = 1.000000
Problem Parameters:
  A = 1
  B = 3.5
  k = 1
  c = 0.01
Integrator Options:
  order            = 3
  method           = explicit
  fused vector ops = 0
  t0               = 0
  tf               = 3
  reltol           = 1.0e-06
  abstol           = 1.0e-09
  nout             = 40
  nonlinear solver = none
Output directory: .

          t         ||u||_rms   ||v||_rms   ||w||_rms
   ----------------------------------------------------
       0.000000     1.060205     3.559930     3.059949
       0.075000     1.079243     3.535937     3.499982
       0.150000     1.101013     3.507895     3.499977
       0.225000     1.125909     3.475285     3.499986
       0.300000     1.154369     3.437549     3.499984
       0.375000     1.186865     3.394103     3.499969
       0.450000     1.223870     3.344373     3.499974
       0.525000     1.265800     3.287863     3.499990
       0.600000     1.312905     3.224250     3.499981
       0.675000     1.365106     3.153529     3.499965
       0.750000     1.421770     3.076177     3.499974
       0.825000     1.481479     2.993308     3.499977
       0.900000     1.541887     2.906731     3.499972
       0.975000     1.599823     2.818833     3.499969
       1.050000     1.651718     2.732272     3.499978
       1.125000     1.694285     2.649571     3.499975
       1.200000     1.725150     2.572793     3.499962
       1.275000     1.743172     2.503400     3.499966
       1.350000     1.748376     2.442296     3.499980
       1.425000     1.741639     2.389972     3.499973
       1.500000     1.724315     2.346645     3.499960
       1.575000     1.697930     2.312381     3.499968
       1.650000     1.663986     2.287150     3.499973
       1.725000     1.623866     2.270867     3.499972
       1.800000     1.578787     2.263391     3.499970
       1.875000     1.529809     2.264525     3.499977
       1.950000     1.477846     2.274002     3.499977
       2.025000     1.423688     2.291477     3.499968
       2.100000     1.368027     2.316515     3.499973
       2.175000     1.311469     2.348594     3.499986
       2.250000     1.254550     2.387108     3.499981
       2.325000     1.197744     2.431383     3.499971
       2.400000     1.141466     2.480692     3.499979
       2.475000     1.086075     2.534288     3.499988
       2.550000     1.031874     2.591422     3.499980
       2.625000     0.979114     2.651378     3.499982
       2.700000     0.927998     2.713489     3.499990
       2.775000     0.878688     2.777156     3.499988
       2.850000     0.831306     2.841860     3.499980
       2.925000     0.785951     2.907162     3.499985
       3.000000     0.742699     2.972704     3.499994

Final Solver Statistics (for processor 0):
   Internal solver steps = 238747 (attempted = 239409)
   Total RHS evals:  Fe = 718230   Total number of error test failures = 662
